### LOVD-version 3000-180 ### Transcripts Quick Download format ### This file can not be imported ###
# charset=UTF-8
"{{chromosome}}"	"{{geneid}}"	"{{name}}"	"{{id_ncbi}}"	"{{id_protein_ncbi}}"
"9"	"ABCA2"	"transcript variant 1"	"NM_001606.4"	"NP_001597.2"
"16"	"ABCA3"	"ATP-binding cassette, sub-family A (ABC1), member 3"	"NM_001089.2"	"NP_001080.2"
"1"	"ABCA4"	"ATP-binding cassette, sub-family A (ABC1), member 4"	"NM_000350.2"	"NP_000341.2"
"17"	"ABCA5"	"transcript variant 1"	"NM_018672.3"	"NP_061142.2"
"17"	"ABCA6"	"ATP-binding cassette, sub-family A (ABC1), member 6"	"NM_080284.2"	"NP_525023.2"
"19"	"ABCA7"	"ATP-binding cassette, sub-family A (ABC1), member 7"	"NM_019112.3"	"NP_061985.2"
"17"	"ABCA8"	"ATP-binding cassette, sub-family A (ABC1), member 8"	"NM_007168.2"	"NP_009099.1"
"17"	"ABCA9"	"ATP-binding cassette, sub-family A (ABC1), member 9"	"NM_080283.3"	"NP_525022.2"
"7"	"ABCB1"	"ATP-binding cassette, sub-family B (MDR/TAP), member 1"	"NM_000927.4"	"NP_000918.2"
"1"	"ABCB10"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"	"NM_012089.2"	"NP_036221.2"
"2"	"ABCB11"	"ATP-binding cassette, sub-family B (MDR/TAP), member 11"	"NM_003742.2"	"NP_003733.2"
"7"	"ABCB4"	"transcript variant A"	"NM_000443.3"	"NP_000434.1"
"7"	"ABCB5"	"transcript variant 2"	"NM_178559.5"	"NP_848654.3"
"2"	"ABCB6"	"ATP-binding cassette, sub-family B (MDR/TAP), member 6"	"NM_005689.2"	"NP_005680.1"
"X"	"ABCB7"	"ATP-binding cassette, sub-family B (MDR/TAP), member 7"	"NM_004299.3"	"NP_004290.2"
"7"	"ABCB8"	"ATP-binding cassette, sub-family B (MDR/TAP), member 8"	"NM_007188.3"	"NP_009119.2"
"12"	"ABCB9"	"transcript variant 2"	"NM_019624.3"	"NP_062570.1"
"16"	"ABCC1"	"transcript variant 1"	"NM_004996.3"	"NP_004987.2"
"6"	"ABCC10"	"transcript variant MRP7A"	"NM_033450.2"	"NP_258261.2"
"16"	"ABCC11"	"transcript variant 1"	"NM_032583.3"	"NP_115972.2"
"16"	"ABCC12"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"	"NM_033226.2"	"NP_150229.2"
"21"	"ABCC13"	"transcript variant A"	"NR_003087.1"	""
"10"	"ABCC2"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 2"	"NM_000392.3"	"NP_000383.1"
"17"	"ABCC3"	"transcript variant 2"	"NM_001144070.1"	"NP_001137542.1"
"13"	"ABCC4"	"transcript variant 1"	"NM_005845.3"	"NP_005836.2"
"3"	"ABCC5"	"transcript variant 1"	"NM_005688.2"	"NP_005679.2"
"3"	"ABCC5-AS1"	"ABCC5 antisense RNA 1"	"NR_046570.1"	""
"16"	"ABCC6"	"transcript variant 1"	"NM_001171.5"	"NP_001162.4"
"16"	"ABCC6P1"	"ATP-binding cassette, sub-family C, member 6 pseudogene 1"	"NR_003569.1"	""
"16"	"ABCC6P2"	"ATP-binding cassette, sub-family C, member 6 pseudogene 2"	"NR_023387.1"	""
"11"	"ABCC8"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"	"NM_000352.3"	"NP_000343.2"
"12"	"ABCC9"	"transcript variant SUR2A"	"NM_005691.2"	"NP_005682.2"
"X"	"ABCD1"	"ATP-binding cassette, sub-family D (ALD), member 1"	"NM_000033.3"	"NP_000024.2"
"12"	"ABCD2"	"ATP-binding cassette, sub-family D (ALD), member 2"	"NM_005164.3"	"NP_005155.1"
"1"	"ABCD3"	"transcript variant 1"	"NM_002858.3"	"NP_002849.1"
"14"	"ABCD4"	"transcript variant 1"	"NM_005050.3"	"NP_005041.1"
"4"	"ABCE1"	"transcript variant 1"	"NM_002940.2"	"NP_002931.2"
"6"	"ABCF1"	"transcript variant 1"	"NM_001025091.1"	"NP_001020262.1"
"7"	"ABCF2"	"transcript variant 2"	"NM_005692.3"	"NP_005683.2"
"3"	"ABCF3"	"ATP-binding cassette, sub-family F (GCN20), member 3"	"NM_018358.2"	"NP_060828.2"
"21"	"ABCG1"	"transcript variant 3"	"NM_207174.1"	"NP_997057.1"
"4"	"ABCG2"	"transcript variant 1"	"NM_004827.2"	"NP_004818.2"
"11"	"ABCG4"	"transcript variant 1"	"NM_022169.4"	"NP_071452.2"
"2"	"ABCG5"	"ATP-binding cassette, sub-family G (WHITE), member 5"	"NM_022436.2"	"NP_071881.1"
"2"	"ABCG8"	"ATP-binding cassette, sub-family G (WHITE), member 8"	"NM_022437.2"	"NP_071882.1"
"2"	"ABHD1"	"abhydrolase domain containing 1"	"NM_032604.3"	"NP_115993.3"
"3"	"ABHD10"	"abhydrolase domain containing 10"	"NM_018394.2"	"NP_060864.1"
"7"	"ABHD11"	"transcript variant 5"	"NR_026910.1"	""
"7"	"ABHD11-AS1"	"ABHD11 antisense RNA 1 (tail to tail)"	"NR_026690.1"	""
"20"	"ABHD12"	"transcript variant 1"	"NM_001042472.2"	"NP_001035937.1"
"14"	"ABHD12B"	"transcript variant 1"	"NM_001206673.1"	"NP_001193602.1"
"13"	"ABHD13"	"abhydrolase domain containing 13"	"NM_032859.2"	"NP_116248.2"
"3"	"ABHD14A"	"abhydrolase domain containing 14A"	"NM_015407.4"	"NP_056222.2"
"3"	"ABHD14A-ACY1"	"ABHD14A-ACY1 readthrough (non-protein coding)"	"NR_037192.1"	""
"3"	"ABHD14B"	"transcript variant 1"	"NM_032750.2"	"NP_116139.1"
"17"	"ABHD15"	"abhydrolase domain containing 15"	"NM_198147.2"	"NP_937790.2"
"6"	"ABHD16A"	"transcript variant 2"	"NM_001177515.1"	"NP_001170986.1"
"20"	"ABHD16B"	"abhydrolase domain containing 16B"	"NM_080622.3"	"NP_542189.1"
"15"	"ABHD2"	"transcript variant 1"	"NM_007011.7"	"NP_008942.3"
"18"	"ABHD3"	"abhydrolase domain containing 3"	"NM_138340.4"	"NP_612213.2"
"14"	"ABHD4"	"abhydrolase domain containing 4"	"NM_022060.2"	"NP_071343.2"
"3"	"ABHD5"	"abhydrolase domain containing 5"	"NM_016006.4"	"NP_057090.2"
"3"	"ABHD6"	"abhydrolase domain containing 6"	"NM_020676.5"	"NP_065727.4"
"19"	"ABHD8"	"abhydrolase domain containing 8"	"NM_024527.4"	"NP_078803.4"
"10"	"ABI1"	"transcript variant 1"	"NM_005470.3"	"NP_005461.2"
"2"	"ABI2"	"abl-interactor 2"	"NM_005759.4"	"NP_005750.4"
"17"	"ABI3"	"transcript variant 1"	"NM_016428.2"	"NP_057512.1"
"3"	"ABI3BP"	"ABI family, member 3 (NESH) binding protein"	"NM_015429.3"	"NP_056244.2"
"9"	"ABL1"	"transcript variant b"	"NM_007313.2"	"NP_009297.2"
"1"	"ABL2"	"transcript variant c"	"NM_005158.4"	"NP_005149.4"
"10"	"ABLIM1"	"transcript variant 2"	"NM_001003407.1"	"NP_001003407.1"
"4"	"ABLIM2"	"transcript variant 1"	"NM_001130083.1"	"NP_001123555.1"
"5"	"ABLIM3"	"actin binding LIM protein family, member 3"	"NM_014945.2"	"NP_055760.1"
"9"	"ABO"	"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"	"NM_020469.2"	"NP_065202.2"
"7"	"ABP1"	"amiloride binding protein 1 (amine oxidase (copper-containing))"	"NM_001091.2"	"NP_001082.2"
"17"	"ABR"	"transcript variant 2"	"NM_001092.4"	"NP_001083.2"
"8"	"ABRA"	"actin-binding Rho activating protein"	"NM_139166.4"	"NP_631905.1"
"6"	"ABRACL"	"ABRA C-terminal like"	"NM_021243.2"	"NP_067066.1"
"6"	"ABT1"	"activator of basal transcription 1"	"NM_013375.3"	"NP_037507.1"
"3"	"ABTB1"	"transcript variant 2"	"NM_172027.2"	"NP_742024.1"
"11"	"ABTB2"	"ankyrin repeat and BTB (POZ) domain containing 2"	"NM_145804.2"	"NP_665803.2"
"3"	"ACAA1"	"transcript variant 1"	"NM_001607.3"	"NP_001598.1"
"18"	"ACAA2"	"acetyl-CoA acyltransferase 2"	"NM_006111.2"	"NP_006102.2"
"17"	"ACACA"	"transcript variant 1"	"NM_198834.1"	"NP_942131.1"
"12"	"ACACB"	"acetyl-CoA carboxylase beta"	"NM_001093.3"	"NP_001084.3"
"12"	"ACAD10"	"transcript variant 2"	"NM_025247.5"	"NP_079523.3"
"3"	"ACAD11"	"acyl-CoA dehydrogenase family, member 11"	"NM_032169.4"	"NP_115545.3"
"11"	"ACAD8"	"acyl-CoA dehydrogenase family, member 8"	"NM_014384.2"	"NP_055199.1"
"3"	"ACAD9"	"transcript variant 1"	"NM_014049.4"	"NP_054768.2"
"2"	"ACADL"	"acyl-CoA dehydrogenase, long chain"	"NM_001608.3"	"NP_001599.1"
"1"	"ACADM"	"acyl-CoA dehydrogenase, C-4 to C-12 straight chain, transcript variant 1"	"NM_000016.4"	"NP_000007.1"
"12"	"ACADS"	"acyl-CoA dehydrogenase, C-2 to C-3 short chain"	"NM_000017.2"	"NP_000008.1"
"10"	"ACADSB"	"acyl-CoA dehydrogenase, short/branched chain"	"NM_001609.3"	"NP_001600.1"
"17"	"ACADVL"	"acyl-CoA dehydrogenase, very long chain, transcript variant 1"	"NM_000018.2"	"NP_000009.1"
"15"	"ACAN"	"transcript variant 1"	"NM_001135.3"	"NP_001126.3"
"17"	"ACAP1"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	"NM_014716.3"	"NP_055531.1"
"3"	"ACAP2"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	"NM_012287.5"	"NP_036419.3"
"1"	"ACAP3"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	"NM_030649.2"	"NP_085152.2"
"11"	"ACAT1"	"acetyl-CoA acetyltransferase 1"	"NM_000019.3"	"NP_000010.1"
"6"	"ACAT2"	"acetyl-CoA acetyltransferase 2"	"NM_005891.2"	"NP_005882.2"
"1"	"ACBD3"	"acyl-CoA binding domain containing 3"	"NM_022735.3"	"NP_073572.2"
"17"	"ACBD4"	"transcript variant 2"	"NM_024722.2"	"NP_078998.1"
"10"	"ACBD5"	"transcript variant 1"	"NM_145698.3"	"NP_663736.2"
"1"	"ACBD6"	"acyl-CoA binding domain containing 6"	"NM_032360.3"	"NP_115736.1"
"10"	"ACBD7"	"acyl-CoA binding domain containing 7"	"NM_001039844.2"	"NP_001034933.1"
"11"	"ACCS"	"transcript variant 1"	"NM_032592.3"	"NP_115981.1"
"11"	"ACCSL"	"1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like"	"NM_001031854.2"	"NP_001027025.2"
"16"	"ACD"	"transcript variant 2"	"NM_022914.2"	"NP_075065.2"
"17"	"ACE"	"transcript variant 1"	"NM_000789.3"	"NP_000780.1"
"X"	"ACE2"	"angiotensin I converting enzyme (peptidyl-dipeptidase A) 2"	"NM_021804.2"	"NP_068576.1"
"19"	"ACER1"	"alkaline ceramidase 1"	"NM_133492.2"	"NP_597999.1"
"9"	"ACER2"	"alkaline ceramidase 2"	"NM_001010887.2"	"NP_001010887.2"
"11"	"ACER3"	"alkaline ceramidase 3"	"NM_018367.5"	"NP_060837.3"
"7"	"ACHE"	"transcript variant E4-E5"	"NM_015831.2"	"NP_056646.1"
"14"	"ACIN1"	"transcript variant 1"	"NM_014977.3"	"NP_055792.1"
"17"	"ACLY"	"transcript variant 1"	"NM_001096.2"	"NP_001087.2"
"2"	"ACMSD"	"aminocarboxymuconate semialdehyde decarboxylase"	"NM_138326.2"	"NP_612199.2"
"7"	"ACN9"	"ACN9 homolog (S. cerevisiae)"	"NM_020186.2"	"NP_064571.1"
"9"	"ACO1"	"aconitase 1, soluble"	"NM_002197.2"	"NP_002188.1"
"22"	"ACO2"	"aconitase 2, mitochondrial"	"NM_001098.2"	"NP_001089.1"
"14"	"ACOT1"	"acyl-CoA thioesterase 1"	"NM_001037161.1"	"NP_001032238.1"
"1"	"ACOT11"	"transcript variant 1"	"NM_015547.3"	"NP_056362.1"
"5"	"ACOT12"	"acyl-CoA thioesterase 12"	"NM_130767.2"	"NP_570123.1"
"6"	"ACOT13"	"transcript variant 1"	"NM_018473.3"	"NP_060943.1"
"14"	"ACOT2"	"transcript variant 1"	"NM_006821.5"	"NP_006812.3"
"14"	"ACOT4"	"acyl-CoA thioesterase 4"	"NM_152331.3"	"NP_689544.3"
"14"	"ACOT6"	"acyl-CoA thioesterase 6"	"NM_001037162.1"	"NP_001032239.1"
"1"	"ACOT7"	"transcript variant hBACHa"	"NM_007274.3"	"NP_009205.3"
"20"	"ACOT8"	"acyl-CoA thioesterase 8"	"NM_005469.3"	"NP_005460.2"
"X"	"ACOT9"	"transcript variant 2"	"NM_001033583.2"	"NP_001028755.2"
"17"	"ACOX1"	"transcript variant 3"	"NM_001185039.1"	"NP_001171968.1"
"3"	"ACOX2"	"acyl-CoA oxidase 2, branched chain"	"NM_003500.3"	"NP_003491.1"
"4"	"ACOX3"	"transcript variant 2"	"NM_001101667.1"	"NP_001095137.1"
"2"	"ACOXL"	"acyl-CoA oxidase-like"	"NM_001142807.1"	"NP_001136279.1"
"2"	"ACP1"	"transcript variant 4"	"NM_001040649.2"	"NP_001035739.1"
"11"	"ACP2"	"transcript variant 1"	"NM_001610.2"	"NP_001601.1"
"19"	"ACP5"	"transcript variant 2"	"NM_001111034.1"	"NP_001104504.1"
"1"	"ACP6"	"acid phosphatase 6, lysophosphatidic"	"NM_016361.3"	"NP_057445.3"
"3"	"ACPL2"	"transcript variant 1"	"NM_152282.3"	"NP_689495.1"
"3"	"ACPP"	"transcript variant 1"	"NM_001099.4"	"NP_001090.2"
"19"	"ACPT"	"acid phosphatase, testicular"	"NM_033068.2"	"NP_149059.1"
"22"	"ACR"	"acrosin"	"NM_001097.2"	"NP_001088.2"
"12"	"ACRBP"	"acrosin binding protein"	"NM_032489.2"	"NP_115878.2"
"X"	"ACRC"	"acidic repeat containing"	"NM_052957.4"	"NP_443189.1"
"11"	"ACRV1"	"transcript variant 1"	"NM_001612.5"	"NP_001603.1"
"15"	"ACSBG1"	"transcript variant 1"	"NM_015162.4"	"NP_055977.3"
"19"	"ACSBG2"	"acyl-CoA synthetase bubblegum family member 2"	"NM_030924.3"	"NP_112186.3"
"17"	"ACSF2"	"acyl-CoA synthetase family member 2"	"NM_025149.4"	"NP_079425.3"
"16"	"ACSF3"	"transcript variant 1"	"NM_174917.3"	"NP_777577.2"
"4"	"ACSL1"	"acyl-CoA synthetase long-chain family member 1"	"NM_001995.2"	"NP_001986.2"
"2"	"ACSL3"	"transcript variant 1"	"NM_004457.3"	"NP_004448.2"
"X"	"ACSL4"	"transcript variant 1"	"NM_004458.2"	"NP_004449.1"
"10"	"ACSL5"	"transcript variant 1"	"NM_016234.3"	"NP_057318.2"
"5"	"ACSL6"	"transcript variant 1"	"NM_015256.3"	"NP_056071.2"
"16"	"ACSM1"	"acyl-CoA synthetase medium-chain family member 1"	"NM_052956.2"	"NP_443188.2"
"16"	"ACSM2A"	"acyl-CoA synthetase medium-chain family member 2A"	"NM_001010845.2"	"NP_001010845.1"
"16"	"ACSM2B"	"transcript variant 1"	"NM_182617.3"	"NP_872423.3"
"16"	"ACSM3"	"transcript variant 1"	"NM_005622.3"	"NP_005613.2"
"12"	"ACSM4"	"acyl-CoA synthetase medium-chain family member 4"	"NM_001080454.1"	"NP_001073923.1"
"16"	"ACSM5"	"acyl-CoA synthetase medium-chain family member 5"	"NM_017888.2"	"NP_060358.2"
"20"	"ACSS1"	"transcript variant 1"	"NM_032501.3"	"NP_115890.2"
"20"	"ACSS2"	"transcript variant 1"	"NM_018677.3"	"NP_061147.1"
"12"	"ACSS3"	"acyl-CoA synthetase short-chain family member 3"	"NM_024560.2"	"NP_078836.1"
"1"	"ACTA1"	"actin, alpha 1, skeletal muscle"	"NM_001100.3"	"NP_001091.1"
"10"	"ACTA2"	"transcript variant 2"	"NM_001613.2"	"NP_001604.1"
"7"	"ACTB"	"actin, beta"	"NM_001101.3"	"NP_001092.1"
"5"	"ACTBL2"	"actin, beta-like 2"	"NM_001017992.3"	"NP_001017992.1"
"15"	"ACTC1"	"actin, alpha, cardiac muscle 1"	"NM_005159.4"	"NP_005150.1"
"17"	"ACTG1"	"transcript variant 2"	"NM_001614.3"	"NP_001605.1"
"1"	"ACTG1P4"	"actin, gamma 1 pseudogene 4"	"NR_024438.2"	""
"2"	"ACTG2"	"transcript variant 1"	"NM_001615.3"	"NP_001606.1"
"20"	"ACTL10"	"actin-like 10"	"NM_001024675.1"	"NP_001019846.1"
"3"	"ACTL6A"	"transcript variant 1"	"NM_004301.3"	"NP_004292.1"
"7"	"ACTL6B"	"actin-like 6B"	"NM_016188.4"	"NP_057272.1"
"9"	"ACTL7A"	"actin-like 7A"	"NM_006687.2"	"NP_006678.1"
"9"	"ACTL7B"	"actin-like 7B"	"NM_006686.3"	"NP_006677.1"
"1"	"ACTL8"	"actin-like 8"	"NM_030812.2"	"NP_110439.2"
"19"	"ACTL9"	"actin-like 9"	"NM_178525.3"	"NP_848620.2"
"14"	"ACTN1"	"transcript variant 2"	"NM_001102.3"	"NP_001093.1"
"1"	"ACTN2"	"actinin, alpha 2"	"NM_001103.2"	"NP_001094.1"
"11"	"ACTN3"	"actinin, alpha 3, transcript variant 1, coding"	"NM_001104.3"	"NP_001095.2"
"19"	"ACTN4"	"actinin, alpha 4"	"NM_004924.4"	"NP_004915.2"
"14"	"ACTR10"	"actin-related protein 10 homolog (S. cerevisiae)"	"NM_018477.2"	"NP_060947.1"
"10"	"ACTR1A"	"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"	"NM_005736.3"	"NP_005727.1"
"2"	"ACTR1B"	"ARP1 actin-related protein 1 homolog B, centractin beta (yeast)"	"NM_005735.3"	"NP_005726.1"
"2"	"ACTR2"	"transcript variant 1"	"NM_001005386.2"	"NP_001005386.1"
"2"	"ACTR3"	"ARP3 actin-related protein 3 homolog (yeast)"	"NM_005721.3"	"NP_005712.1"
"7"	"ACTR3B"	"transcript variant 1"	"NM_020445.5"	"NP_065178.1"
"2"	"ACTR3BP2"	"ARP3 actin-related protein 3 homolog B (yeast) pseudogene 2"	"NR_027714.1"	""
"10"	"ACTR3BP5"	"ARP3 actin-related protein 3 homolog B (yeast) pseudogene 5"	"NR_045000.1"	""
"7"	"ACTR3C"	"transcript variant 1"	"NM_001164458.1"	"NP_001157930.1"
"20"	"ACTR5"	"ARP5 actin-related protein 5 homolog (yeast)"	"NM_024855.3"	"NP_079131.3"
"12"	"ACTR6"	"transcript variant 1"	"NM_022496.4"	"NP_071941.1"
"3"	"ACTR8"	"ARP8 actin-related protein 8 homolog (yeast)"	"NM_022899.4"	"NP_075050.3"
"X"	"ACTRT1"	"actin-related protein T1"	"NM_138289.3"	"NP_612146.1"
"1"	"ACTRT2"	"actin-related protein T2"	"NM_080431.4"	"NP_536356.3"
"3"	"ACTRT3"	"actin-related protein T3"	"NM_032487.4"	"NP_115876.3"
"2"	"ACVR1"	"transcript variant 1"	"NM_001105.4"	"NP_001096.1"
"12"	"ACVR1B"	"transcript variant 3"	"NM_020328.3"	"NP_064733.3"
"2"	"ACVR1C"	"transcript variant 1"	"NM_145259.2"	"NP_660302.2"
"2"	"ACVR2A"	"activin A receptor, type IIA"	"NM_001616.3"	"NP_001607.1"
"3"	"ACVR2B"	"activin A receptor, type IIB"	"NM_001106.3"	"NP_001097.2"
"3"	"ACVR2B-AS1"	"ACVR2B antisense RNA 1"	"NR_028389.1"	""
"12"	"ACVRL1"	"transcript variant 1"	"NM_000020.2"	"NP_000011.2"
"3"	"ACY1"	"transcript variant 1"	"NM_000666.2"	"NP_000657.1"
"11"	"ACY3"	"aspartoacylase (aminocyclase) 3"	"NM_080658.1"	"NP_542389.1"
"14"	"ACYP1"	"transcript variant 1"	"NM_001107.3"	"NP_001098.1"
"2"	"ACYP2"	"acylphosphatase 2, muscle type"	"NM_138448.3"	"NP_612457.1"
"20"	"ADA"	"adenosine deaminase"	"NM_000022.2"	"NP_000013.2"
"4"	"ADAD1"	"transcript variant 1"	"NM_139243.3"	"NP_640336.1"
"16"	"ADAD2"	"transcript variant 1"	"NM_139174.3"	"NP_631913.3"
"15"	"ADAL"	"transcript variant 2"	"NM_001012969.2"	"NP_001012987.1"
"15"	"ADAM10"	"ADAM metallopeptidase domain 10"	"NM_001110.2"	"NP_001101.1"
"17"	"ADAM11"	"ADAM metallopeptidase domain 11"	"NM_002390.4"	"NP_002381.2"
"10"	"ADAM12"	"transcript variant 1"	"NM_003474.4"	"NP_003465.3"
"1"	"ADAM15"	"transcript variant 2"	"NM_003815.4"	"NP_003806.3"
"2"	"ADAM17"	"ADAM metallopeptidase domain 17"	"NM_003183.4"	"NP_003174.3"
"8"	"ADAM18"	"transcript variant 1"	"NM_014237.2"	"NP_055052.1"
"5"	"ADAM19"	"ADAM metallopeptidase domain 19"	"NM_033274.3"	"NP_150377.1"
"12"	"ADAM1A"	"ADAM metallopeptidase domain 1A, pseudogene"	"NR_036636.1"	""
"8"	"ADAM2"	"ADAM metallopeptidase domain 2"	"NM_001464.3"	"NP_001455.3"
"14"	"ADAM20"	"ADAM metallopeptidase domain 20"	"NM_003814.4"	"NP_003805.3"
"14"	"ADAM20P1"	"ADAM metallopeptidase domain 20 pseudogene 1"	"NR_037933.1"	""
"14"	"ADAM21"	"ADAM metallopeptidase domain 21"	"NM_003813.3"	"NP_003804.2"
"14"	"ADAM21P1"	"ADAM metallopeptidase domain 21 pseudogene 1"	"NR_003951.1"	""
"7"	"ADAM22"	"transcript variant 1"	"NM_021723.3"	"NP_068369.1"
"2"	"ADAM23"	"ADAM metallopeptidase domain 23"	"NM_003812.2"	"NP_003803.1"
"8"	"ADAM28"	"transcript variant 1"	"NM_014265.4"	"NP_055080.2"
"4"	"ADAM29"	"transcript variant 2"	"NM_001130703.1"	"NP_001124175.1"
"1"	"ADAM30"	"ADAM metallopeptidase domain 30"	"NM_021794.3"	"NP_068566.2"
"8"	"ADAM32"	"ADAM metallopeptidase domain 32"	"NM_145004.5"	"NP_659441.3"
"20"	"ADAM33"	"transcript variant 1"	"NM_025220.2"	"NP_079496.1"
"8"	"ADAM3A"	"transcript variant 2"	"NR_001569.2"	""
"8"	"ADAM5"	"ADAM metallopeptidase domain 5, pseudogene"	"NR_001448.1"	""
"14"	"ADAM6"	"ADAM metallopeptidase domain 6, pseudogene"	"NR_002224.1"	""
"8"	"ADAM7"	"ADAM metallopeptidase domain 7"	"NM_003817.3"	"NP_003808.2"
"10"	"ADAM8"	"transcript variant 1"	"NM_001109.4"	"NP_001100.3"
"8"	"ADAM9"	"transcript variant 1"	"NM_003816.2"	"NP_003807.1"
"8"	"ADAMDEC1"	"transcript variant 1"	"NM_014479.3"	"NP_055294.1"
"21"	"ADAMTS1"	"ADAM metallopeptidase with thrombospondin type 1 motif, 1"	"NM_006988.3"	"NP_008919.3"
"19"	"ADAMTS10"	"ADAM metallopeptidase with thrombospondin type 1 motif, 10"	"NM_030957.2"	"NP_112219.2"
"5"	"ADAMTS12"	"ADAM metallopeptidase with thrombospondin type 1 motif, 12"	"NM_030955.2"	"NP_112217.2"
"9"	"ADAMTS13"	"ADAM metallopeptidase with thrombospondin type 1 motif, 13, transcript variant 1"	"NM_139025.3"	"NP_620594.1"
